training_fraction,training_rows_mean,training_failures_mean,rows,failures,average_precision,roc_auc,precision_top_05,precision_top_10
0.1,212.0,7.0,2646,86,0.08357773051504211,0.5377657158430234,0.06015037593984962,0.05660377358490566
0.2,424.0,14.0,2646,86,0.03875789027218222,0.5646121002906976,0.022556390977443608,0.03018867924528302
0.4,847.0,27.8,2646,86,0.09664933048617586,0.5812522710755814,0.12030075187969924,0.07924528301886792
0.6,1270.8,41.0,2646,86,0.09022224837700824,0.6079919149709302,0.09774436090225563,0.07924528301886792
0.8,1693.8,54.8,2646,86,0.10259836585790134,0.6167877906976744,0.10526315789473684,0.09433962264150944
1.0,2116.8,68.8,2646,86,0.10871707982168374,0.6303779069767442,0.12781954887218044,0.09056603773584905
