model,rows,failures,average_precision,roc_auc,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,precision_top_05,precision_top_10,rule_threshold_tn,rule_threshold_fp,rule_threshold_fn,rule_threshold_tp
elastic_net,2644,84,0.10694631592206842,0.6216820126488096,0.12280701754385964,0.04229607250755287,0.0412573673870334,0.13533834586466165,0.09433962264150944,2520,40,76,8
ridge,2644,84,0.09826227808245838,0.616845703125,0.1437908496732026,0.04501607717041801,0.03903345724907063,0.14285714285714285,0.09433962264150944,2518,42,76,8
lasso,2644,84,0.09752932767171614,0.6103538876488095,0.14093959731543623,0.04202483285577841,0.03834449178332319,0.13533834586466165,0.09811320754716982,2515,45,75,9
bayesian_ridge,2644,84,0.09689507094765466,0.6196870349702381,0.14193548387096774,0.04430379746835443,0.0392512077294686,0.13533834586466165,0.09433962264150944,2518,42,76,8
gradient_boosting,2644,84,0.07244615654877477,0.6001232328869047,0.10880829015544041,0.040865384615384616,0.03771361225692398,0.14285714285714285,0.09056603773584905,2508,52,77,7
extra_trees,2644,84,0.07196685680804754,0.6123395647321428,0.13924050632911392,0.04468085106382979,0.037611940298507465,0.15037593984962405,0.08679245283018867,2499,61,75,9
hist_gradient_boosting,2644,84,0.06589860992525294,0.6025506882440477,0.13725490196078433,0.04181818181818182,0.035955056179775284,0.13533834586466165,0.0830188679245283,2490,70,74,10
random_forest,2644,84,0.06207851351423155,0.5968959263392858,0.12138728323699421,0.04131054131054131,0.038231780167264036,0.15037593984962405,0.08679245283018867,2501,59,77,7
mean_baseline,2644,84,0.0342975660674783,0.5159830729166667,0.035620743844945,0.035620743844945,0.035620743844945,0.03007518796992481,0.026415094339622643,2504,56,82,2
