endpoint,feature_count,model,fold,rows,failures,average_precision,pr_auc,roc_auc,brier_score,f1_score,recall_at_precision_25,recall_at_precision_50,recall_at_precision_75,precision_top_01,precision_top_05,precision_top_10,threshold_0_5_tn,threshold_0_5_fp,threshold_0_5_fn,threshold_0_5_tp
pass_fail,5,prevalence_baseline,1,529,17,0.03213610586011342,0.03213610586011342,0.5,0.031103585579788588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512,0,17,0
pass_fail,5,logistic_l2_balanced,1,529,17,0.05872861849101701,0.05872861849101701,0.6125919117647058,0.24046513671934044,0.10650887573964497,0.0,0.0,0.0,0.16666666666666666,0.07407407407407407,0.07547169811320754,369,143,8,9
pass_fail,5,logistic_l1_balanced,1,529,17,0.05879595985280735,0.05879595985280735,0.6130514705882353,0.24081834293839385,0.10588235294117647,0.0,0.0,0.0,0.16666666666666666,0.07407407407407407,0.07547169811320754,368,144,8,9
pass_fail,5,elastic_net_logistic,1,529,17,0.05870881481149336,0.05870881481149336,0.6123621323529411,0.24041926226478125,0.10650887573964497,0.0,0.0,0.0,0.16666666666666666,0.07407407407407407,0.07547169811320754,369,143,8,9
pass_fail,5,linear_svm_rbf_calibrated_probability,1,529,17,0.03156172555861211,0.03156172555861211,0.4775965073529411,0.03157841685741576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512,0,17,0
pass_fail,5,hist_gradient_boosting,1,529,17,0.11959919452698106,0.11959919452698106,0.6072495404411764,0.0311733965013191,0.0,0.11764705882352941,0.0,0.0,0.3333333333333333,0.18518518518518517,0.1320754716981132,510,2,17,0
pass_fail,5,balanced_random_forest,1,529,17,0.08085793566018783,0.08085793566018783,0.5320542279411764,0.1445065514350163,0.125,0.058823529411764705,0.0,0.0,0.16666666666666666,0.14814814814814814,0.09433962264150944,454,58,12,5
pass_fail,5,lightgbm_balanced,1,529,17,0.19761754503253062,0.19761754503253062,0.6150045955882353,0.14043088630225534,0.13114754098360656,0.4117647058823529,0.058823529411764705,0.058823529411764705,0.16666666666666666,0.25925925925925924,0.1509433962264151,415,97,9,8
pass_fail,5,xgboost_weighted,1,529,17,0.1142114419540151,0.1142114419540151,0.562155330882353,0.17032544314861298,0.09090909090909091,0.23529411764705882,0.058823529411764705,0.0,0.16666666666666666,0.14814814814814814,0.11320754716981132,382,130,10,7
pass_fail,5,prevalence_baseline,2,530,18,0.033962264150943396,0.033962264150943396,0.5,0.032812163618788116,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.03773584905660377,512,0,18,0
pass_fail,5,logistic_l2_balanced,2,530,18,0.03637473472557706,0.03637473472557706,0.5042317708333333,0.23672268117105108,0.045112781954887216,0.0,0.0,0.0,0.0,0.037037037037037035,0.018867924528301886,400,112,15,3
pass_fail,5,logistic_l1_balanced,2,530,18,0.03657962868403421,0.03657962868403421,0.5052083333333334,0.23721295436279763,0.044444444444444446,0.0,0.0,0.0,0.0,0.037037037037037035,0.018867924528301886,398,114,15,3
pass_fail,5,elastic_net_logistic,2,530,18,0.036422253933894394,0.036422253933894394,0.5046657986111112,0.23672123283920068,0.045112781954887216,0.0,0.0,0.0,0.0,0.037037037037037035,0.018867924528301886,400,112,15,3
pass_fail,5,linear_svm_rbf_calibrated_probability,2,530,18,0.036805782265401224,0.036805782265401224,0.43131510416666674,0.03300825938406658,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.03773584905660377,512,0,18,0
pass_fail,5,hist_gradient_boosting,2,530,18,0.09762532651942232,0.09762532651942232,0.61083984375,0.0328699763884096,0.0,0.05555555555555555,0.0,0.0,0.16666666666666666,0.18518518518518517,0.09433962264150944,512,0,18,0
pass_fail,5,balanced_random_forest,2,530,18,0.10869802477601234,0.10869802477601234,0.6120876736111112,0.13798582123519473,0.18181818181818182,0.2222222222222222,0.0,0.0,0.16666666666666666,0.18518518518518517,0.11320754716981132,470,42,12,6
pass_fail,5,lightgbm_balanced,2,530,18,0.1072263806905952,0.1072263806905952,0.6112196180555556,0.13933439323114685,0.10606060606060606,0.2222222222222222,0.0,0.0,0.16666666666666666,0.14814814814814814,0.11320754716981132,405,107,11,7
pass_fail,5,xgboost_weighted,2,530,18,0.11314617371199223,0.11314617371199223,0.5851236979166666,0.1702214777469635,0.10144927536231885,0.2777777777777778,0.0,0.0,0.16666666666666666,0.18518518518518517,0.09433962264150944,399,113,11,7
pass_fail,5,prevalence_baseline,3,529,17,0.03213610586011342,0.03213610586011342,0.5,0.031103585579788588,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.03773584905660377,512,0,17,0
pass_fail,5,logistic_l2_balanced,3,529,17,0.08742041851428889,0.08742041851428889,0.4496783088235294,0.23163732745086088,0.043859649122807015,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.16666666666666666,0.037037037037037035,0.018867924528301886,306,206,12,5
pass_fail,5,logistic_l1_balanced,3,529,17,0.08758011387541054,0.08758011387541054,0.4504825367647059,0.23191849595337752,0.043478260869565216,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.16666666666666666,0.037037037037037035,0.018867924528301886,304,208,12,5
pass_fail,5,elastic_net_logistic,3,529,17,0.08741800613838611,0.08741800613838611,0.4496783088235294,0.23156122947329544,0.043859649122807015,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.16666666666666666,0.037037037037037035,0.018867924528301886,306,206,12,5
