feature,mean_rank,rank_sd,selection_frequency,rf_mean_rank,permutation_mean_rank
longest_modified_token_run,128.705,7.580242460342263,0.0,96.41,161.0
modified_token_count_5p,129.935,7.665564808830711,0.0,98.87,161.0
longest_mC_run,130.38,8.307268327838402,0.0,99.76,161.0
methyl_span_fraction,130.505,7.445592215152761,0.0,100.01,161.0
slash_mod_density_3p,132.01,7.149549678550435,0.0,103.02,161.0
star_count_middle,132.4225,9.128826511926299,0.0,103.845,161.0
slash_mod_count_3p,132.8375,8.496090529939597,0.0,104.675,161.0
slash_mod_count_middle,133.1025,10.932766002926599,0.0,105.205,161.0
methyl_last_fraction,133.2575,7.067268324158677,0.0,105.515,161.0
slash_mod_density_middle,133.645,10.517492643931417,0.0,106.29,161.0
star_density_middle,133.8275,9.048808099982177,0.0,106.655,161.0
slash_mod_count,133.835,8.27831992665667,0.0,106.67,161.0
methyl_density_middle,134.2975,7.472229309823535,0.0,107.595,161.0
methyl_count_5p,134.365,6.933615597401204,0.0,107.73,161.0
slash_mod_position_std,135.0375,8.673174639849774,0.0,109.075,161.0
slash_mod_span_fraction,135.0725,7.189822966730771,0.0,109.145,161.0
methyl_count_middle,135.08,7.723674741672616,0.0,109.16,161.0
star_count,135.18,6.329951250071584,0.0,109.36,161.0
longest_slash_mod_run,137.965,5.794243486060766,0.0,114.93,161.0
has_slash_mod,138.3625,6.092549577437617,0.0,115.725,161.0
star_count_3p,140.5975,7.131245711938436,0.0,120.195,161.0
longest_mU_run,141.0725,6.423235028575807,0.0,121.145,161.0
star_count_5p,141.0875,5.794173209511272,0.0,121.175,161.0
slash_mod_density_5p,142.1225,6.868212443694299,0.0,123.245,161.0
modified_token_first_position,143.4525,7.065949702766089,0.0,125.905,161.0
slash_mod_count_5p,144.32,7.950293813260721,0.0,127.64,161.0
modified_token_first_fraction,144.865,7.187814112591643,0.0,128.73,161.0
lna_span_fraction,146.725,11.342381637562772,0.0,132.45,161.0
lna_count_middle,147.035,9.508370846870468,0.0,133.07,161.0
lna_density_middle,147.15,9.478511049588521,0.0,133.3,161.0
star_first_position,147.305,5.355373493279926,0.0,133.61,161.0
longest_star_run,147.4775,6.126001773365136,0.0,133.955,161.0
lna_position_std,147.82,8.809794251143142,0.0,134.64,161.0
longest_lna_run,147.975,8.82950889193319,0.0,134.95,161.0
lna_mean_position,148.1925,8.246200150323297,0.0,135.385,161.0
methyl_first_position,148.2125,5.532659574716032,0.0,135.425,161.0
token_lG_fraction,148.5675,8.093585735043831,0.0,136.135,161.0
lna_mean_fraction,148.5725,8.830924128288952,0.0,136.145,161.0
lna_last_fraction,148.6525,7.900573355360632,0.0,136.305,161.0
lna_first_position,148.8975,7.920540918039842,0.0,136.795,161.0
token_lT_fraction,148.9175,8.879030952562651,0.0,136.835,161.0
lna_first_fraction,149.3275,7.736481774846059,0.0,137.655,161.0
methyl_first_fraction,149.3825,4.9957627247518674,0.0,137.765,161.0
lna_last_position,149.4025,7.882813984430394,0.0,137.805,161.0
token_lG_count,149.765,7.417545062045442,0.0,138.53,161.0
longest_lT_run,149.9475,7.3701122306874876,0.0,138.895,161.0
token_lA_count,150.14,6.327780659979302,0.0,139.28,161.0
longest_lG_run,150.215,6.196592008939467,0.0,139.43,161.0
token_lT_count,150.355,6.888009270984738,0.0,139.71,161.0
longest_lA_run,150.66,5.961738272712351,0.0,140.32,161.0
token_lA_fraction,150.68,6.526082092247033,0.0,140.36,161.0
token_lC_count,152.49,2.1523184586567914,0.0,143.98,161.0
lna_count_3p,152.8025,1.2624606204479467,0.0,144.605,161.0
lna_count_5p,152.8025,1.2624606204479467,0.0,144.605,161.0
lna_density_3p,152.8025,1.2624606204479467,0.0,144.605,161.0
lna_density_5p,152.8025,1.2624606204479467,0.0,144.605,161.0
longest_lC_run,152.8025,1.2624606204479467,0.0,144.605,161.0
longest_lU_run,152.8025,1.2624606204479467,0.0,144.605,161.0
terminal_star_count,152.8025,1.2624606204479467,0.0,144.605,161.0
token_lC_fraction,152.8025,1.2624606204479467,0.0,144.605,161.0
token_lU_count,152.8025,1.2624606204479467,0.0,144.605,161.0
token_lU_fraction,152.8025,1.2624606204479467,0.0,144.605,161.0
unknown_char_count,152.8025,1.2624606204479467,0.0,144.605,161.0
unknown_char_fraction,152.8025,1.2624606204479467,0.0,144.605,161.0
