endpoint,feature_count,model,fold,rows,failures,average_precision,pr_auc,roc_auc,brier_score,f1_score,recall_at_precision_25,recall_at_precision_50,recall_at_precision_75,precision_top_01,precision_top_05,precision_top_10,threshold_0_5_tn,threshold_0_5_fp,threshold_0_5_fn,threshold_0_5_tp
pass_fail,9,prevalence_baseline,1,529,17,0.03213610586011342,0.03213610586011342,0.5,0.031103585579788588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512,0,17,0
pass_fail,9,logistic_l2_balanced,1,529,17,0.07184682074964968,0.07184682074964968,0.6533777573529411,0.22975850117369184,0.12162162162162163,0.0,0.0,0.0,0.16666666666666666,0.037037037037037035,0.07547169811320754,390,122,8,9
pass_fail,9,logistic_l1_balanced,1,529,17,0.07211509081093187,0.07211509081093187,0.6560202205882353,0.23000987441415582,0.12162162162162163,0.0,0.0,0.0,0.16666666666666666,0.037037037037037035,0.09433962264150944,390,122,8,9
pass_fail,9,elastic_net_logistic,1,529,17,0.07182087939998523,0.07182087939998523,0.6529181985294117,0.22966234823341924,0.12162162162162163,0.0,0.0,0.0,0.16666666666666666,0.037037037037037035,0.09433962264150944,390,122,8,9
pass_fail,9,linear_svm_rbf_calibrated_probability,1,529,17,0.02766213819627741,0.02766213819627741,0.38556985294117646,0.03170468654661934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512,0,17,0
pass_fail,9,hist_gradient_boosting,1,529,17,0.12871073448167047,0.12871073448167047,0.6075367647058824,0.030920913995527904,0.0,0.11764705882352941,0.0,0.0,0.3333333333333333,0.2222222222222222,0.1320754716981132,510,2,17,0
pass_fail,9,balanced_random_forest,1,529,17,0.0958018943399239,0.0958018943399239,0.5505514705882353,0.1470314346199433,0.18181818181818182,0.23529411764705882,0.0,0.0,0.16666666666666666,0.14814814814814814,0.09433962264150944,479,33,12,5
pass_fail,9,lightgbm_balanced,1,529,17,0.1997792150264451,0.1997792150264451,0.6454503676470589,0.13824458151623711,0.1322314049586777,0.35294117647058826,0.11764705882352941,0.058823529411764705,0.3333333333333333,0.25925925925925924,0.1320754716981132,416,96,9,8
pass_fail,9,xgboost_weighted,1,529,17,0.1269621085305873,0.1269621085305873,0.5986902573529411,0.1709252893924713,0.10126582278481013,0.35294117647058826,0.0,0.0,0.16666666666666666,0.2222222222222222,0.11320754716981132,379,133,9,8
pass_fail,9,prevalence_baseline,2,530,18,0.033962264150943396,0.033962264150943396,0.5,0.032812163618788116,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.03773584905660377,512,0,18,0
pass_fail,9,logistic_l2_balanced,2,530,18,0.0437043113000526,0.0437043113000526,0.5600043402777778,0.23137112244697325,0.09090909090909091,0.0,0.0,0.0,0.0,0.037037037037037035,0.018867924528301886,404,108,12,6
pass_fail,9,logistic_l1_balanced,2,530,18,0.04357741505709226,0.04357741505709226,0.5574001736111112,0.23157647832541542,0.08888888888888889,0.0,0.0,0.0,0.0,0.037037037037037035,0.018867924528301886,401,111,12,6
pass_fail,9,elastic_net_logistic,2,530,18,0.043662586572484396,0.043662586572484396,0.5593532986111112,0.2312574232338995,0.09090909090909091,0.0,0.0,0.0,0.0,0.037037037037037035,0.018867924528301886,404,108,12,6
pass_fail,9,linear_svm_rbf_calibrated_probability,2,530,18,0.11770634494126248,0.11770634494126248,0.6276041666666667,0.032713324316029246,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.1111111111111111,0.11320754716981132,512,0,18,0
