endpoint,feature_count,model,fold,rows,mae,rmse,r2,pearson_r,spearman_r,observed_mean,predicted_mean
mainpeak_regression,3,mean_baseline,1,531,8.23777625130682,10.962781785706547,-0.00046959793601764055,,,75.99811676082862,76.23562676720076
mainpeak_regression,3,ridge,1,531,5.9391121164578085,8.153424372644334,0.44659579943529004,0.6702600503287341,0.6172104293590446,75.99811676082862,76.52325021588295
mainpeak_regression,3,elastic_net,1,531,5.944441119118056,8.172686623846502,0.4439779049160182,0.6681267318217725,0.6154635798333915,75.99811676082862,76.5284415309532
mainpeak_regression,3,lasso,1,531,5.936974531309248,8.149363697807877,0.44714688933822433,0.6706665404730948,0.6177441777912134,75.99811676082862,76.52133755237487
mainpeak_regression,3,bayesian_ridge,1,531,5.938716363050097,8.15233887227876,0.44674314377708424,0.6703811049954501,0.6177288510302505,75.99811676082862,76.52286299090953
mainpeak_regression,3,hist_gradient_boosting,1,531,4.483893303821495,6.6313743254184105,0.6339255287115964,0.7974812491777342,0.7477449281565451,75.99811676082862,76.47075671193284
mainpeak_regression,3,gradient_boosting,1,531,4.513463153777905,6.67306188332308,0.6293084711729828,0.7942036536082838,0.742616943755673,75.99811676082862,76.38882653590676
mainpeak_regression,3,random_forest,1,531,4.5528578824659345,6.699680164800487,0.6263452583971492,0.7922482637035403,0.7420472080178093,75.99811676082862,76.30394886205188
mainpeak_regression,3,extra_trees,1,531,4.455638131956718,6.59204946393419,0.6382543880584659,0.7997022909354555,0.7490880093316964,75.99811676082862,76.36962941115299
mainpeak_regression,3,mean_baseline,2,531,8.027710772802546,10.938035187707635,-0.003781159391982314,,,76.72504708097928,76.05372290292178
mainpeak_regression,3,ridge,2,531,5.606390991383215,7.818802126433727,0.4870903709208608,0.6986185803660903,0.6636285841343977,76.72504708097928,76.4396596834937
mainpeak_regression,3,elastic_net,2,531,5.613874352577818,7.821369895289549,0.4867534268178558,0.6989698493805282,0.6632460847728462,76.72504708097928,76.4210162995944
mainpeak_regression,3,lasso,2,531,5.606572721016424,7.818339079178489,0.48715112047287756,0.698639911692039,0.6636184676525432,76.72504708097928,76.44003864000368
mainpeak_regression,3,bayesian_ridge,2,531,5.606177345353147,7.818874095044041,0.4870809286655101,0.6985866898092412,0.6635975923725257,76.72504708097928,76.44084951584779
mainpeak_regression,3,hist_gradient_boosting,2,531,4.520100646107755,6.66738005944395,0.627032635921985,0.7918648278735059,0.7371196464645969,76.72504708097928,76.70867174752492
mainpeak_regression,3,gradient_boosting,2,531,4.529731858542026,6.750873114954408,0.6176330928099005,0.7859576468970563,0.7334453445241071,76.72504708097928,76.7082440256219
mainpeak_regression,3,random_forest,2,531,4.513863907168999,6.663990784694591,0.6274117256293908,0.7921380870052119,0.7204693486189878,76.72504708097928,76.72939847545652
mainpeak_regression,3,extra_trees,2,531,4.55250476011679,6.695305172342664,0.6239018809170496,0.7901706038502441,0.722612507190565,76.72504708097928,76.6704968115811
mainpeak_regression,3,mean_baseline,3,531,8.403365513471106,11.125061854575337,-1.4311975826242218e-05,,,76.15442561205273,76.19651272384542
mainpeak_regression,3,ridge,3,531,5.935348290427971,8.275763111465949,0.44662765860362563,0.6685257229772933,0.6423596209424134,76.15442561205273,76.01569144983287
mainpeak_regression,3,elastic_net,3,531,5.928134927217154,8.272566809231215,0.44705502793773444,0.6692560022174201,0.6468667508750323,76.15442561205273,76.00259608770938
mainpeak_regression,3,lasso,3,531,5.935925342672706,8.275340548244303,0.44668416791312604,0.6685546872251926,0.6423628317071535,76.15442561205273,76.01488495219002
mainpeak_regression,3,bayesian_ridge,3,531,5.935918250597264,8.276161623852156,0.44657436296457065,0.6684694467717254,0.640549391781918,76.15442561205273,76.01665454102535
mainpeak_regression,3,hist_gradient_boosting,3,531,4.340128740953609,6.436934764388205,0.6652199557175928,0.8161579347102862,0.7512363686367757,76.15442561205273,76.10645225351675
mainpeak_regression,3,gradient_boosting,3,531,4.441218346170456,6.661973724408881,0.6414025657682594,0.8016860574189113,0.7449559696920302,76.15442561205273,76.10776081047975
mainpeak_regression,3,random_forest,3,531,4.366307175453278,6.575176990209979,0.6506857986492174,0.8070301249086664,0.7408643416807174,76.15442561205273,76.1443051721062
mainpeak_regression,3,extra_trees,3,531,4.3530344134158625,6.525264427373635,0.6559689998014259,0.8113222648291661,0.7504338132675463,76.15442561205273,76.08895972912985
mainpeak_regression,3,mean_baseline,4,530,8.51309112238822,11.051753939157495,-0.0005579521949399258,,,75.97924528301887,76.24022609514837
mainpeak_regression,3,ridge,4,530,5.801694883668613,8.08407579653361,0.4646465724544293,0.6826840491358327,0.6240502852470127,75.97924528301887,76.04471145651071
mainpeak_regression,3,elastic_net,4,530,5.788013489234178,8.067648110130108,0.4668201499053263,0.6836740288816939,0.6296412810883674,75.97924528301887,76.05069036729854
mainpeak_regression,3,lasso,4,530,5.802660419758608,8.08467382501095,0.46456736279703814,0.6826800598668247,0.6239881052427182,75.97924528301887,76.04408521229738
mainpeak_regression,3,bayesian_ridge,4,530,5.802563357296997,8.085273298608172,0.46448795585095903,0.6826131143629035,0.6241035881578969,75.97924528301887,76.04433345494897
mainpeak_regression,3,hist_gradient_boosting,4,530,4.4780686650742645,6.421318785166648,0.6622243831682144,0.8202826374144085,0.7554598724935597,75.97924528301887,75.42097277834651
mainpeak_regression,3,gradient_boosting,4,530,4.434239807991397,6.389468235435031,0.6655668921084537,0.8195505085228628,0.7597893441423945,75.97924528301887,75.56771644891361
mainpeak_regression,3,random_forest,4,530,4.378471740160782,6.3976677730089095,0.6647079923536644,0.8198163387623476,0.7615400817174708,75.97924528301887,75.59950012584363
mainpeak_regression,3,extra_trees,4,530,4.376986965859671,6.2795614420804124,0.6769732691820656,0.8247364292256478,0.7633035760800432,75.97924528301887,75.56509385542148
mainpeak_regression,3,mean_baseline,5,530,8.489750175525911,11.269049638816094,-0.0001357741465406459,,,76.08301886792452,76.21431935939708
mainpeak_regression,3,ridge,5,530,6.018510668168509,8.16931157409959,0.4744000702453067,0.6890836403753198,0.6369378198298072,76.08301886792452,76.02224870823403
mainpeak_regression,3,elastic_net,5,530,6.0149289404832045,8.175390619464972,0.4736175478520802,0.68910349074936,0.6415702651365418,76.08301886792452,76.03468642049656
mainpeak_regression,3,lasso,5,530,6.018774265865347,8.168903098171498,0.4744526302559404,0.6890985509899961,0.6369766478850561,76.08301886792452,76.02223738278748
mainpeak_regression,3,bayesian_ridge,5,530,6.018950071199518,8.169202308045788,0.47441413014389466,0.6890689106882353,0.63692869806215,76.08301886792452,76.02143317018127
mainpeak_regression,3,hist_gradient_boosting,5,530,4.528669137314775,6.548146688762148,0.6623076847966836,0.8140629122096128,0.7437441737085296,76.08301886792452,75.99103159843004
mainpeak_regression,3,gradient_boosting,5,530,4.5597875758768875,6.571942558146105,0.6598488874046665,0.8135148004039171,0.7655041716799184,76.08301886792452,75.9209455823353
mainpeak_regression,3,random_forest,5,530,4.485802261685712,6.544148670380378,0.6627199198888478,0.8145518792863743,0.7691298012369685,76.08301886792452,75.96554678765757
mainpeak_regression,3,extra_trees,5,530,4.556080304217605,6.572490425708326,0.6597921718971835,0.8140631636366007,0.765299189317682,76.08301886792452,75.99810487847772
mainpeak_regression,3,bayesian_ridge,overall_oof,2653,5.860427164467555,8.10180500682587,0.46417049487540485,0.6813092832463126,0.6350041662730369,76.18808895589898,76.20935967346084
mainpeak_regression,3,elastic_net,overall_oof,2653,5.857845702816823,8.103392307226843,0.46396051556720896,0.6812433327876374,0.6374323022858236,76.18808895589898,76.20761037622536
mainpeak_regression,3,extra_trees,overall_oof,2653,4.45884312188308,6.534478387632249,0.6514340960225533,0.8072870074504388,0.7480798019839285,76.18808895589898,76.1387259590676
mainpeak_regression,3,gradient_boosting,overall_oof,2653,4.495687149192833,6.610719316140096,0.6432528707685898,0.8020440217498689,0.7436437778813658,76.18808895589898,76.1389959800597
mainpeak_regression,3,hist_gradient_boosting,overall_oof,2653,4.470147072794945,6.541827843087047,0.6506495773300329,0.806754731200792,0.7431987141152301,76.18808895589898,76.13990387421072
mainpeak_regression,3,lasso,overall_oof,2653,5.860143358961491,8.100754861588065,0.46430939289491324,0.6814109294205074,0.6354009686245481,76.18808895589898,76.20864894201314
mainpeak_regression,3,mean_baseline,overall_oof,2653,8.334212810158204,11.069917105974882,-0.00034956776254535527,-0.024920601985437874,-0.024083887849585033,76.18808895589898,76.1880520249175
mainpeak_regression,3,random_forest,overall_oof,2653,4.459481191647374,6.577061218650041,0.6468763379022515,0.8043671436781153,0.7455248174197804,76.18808895589898,76.14881581106708
mainpeak_regression,3,ridge,overall_oof,2653,5.860173778723901,8.101711547581395,0.46418285704206597,0.6813154976253184,0.6353407861520735,76.18808895589898,76.20924470552015
