rank,feature,feature_family,is_count_or_fraction,family_selection_reason,composite_score,pass_fail_abs_corr,need_review_abs_corr,mainpeak_abs_corr,max_abs_correlation_to_previous_selected
1,rna_count_middle,rna,True,preferred_count_or_fraction_within_family,0.9026915113871635,0.04059956479150812,0.19180046184806798,0.6314073900839435,0.0
2,modified_token_position_std,modified_token,False,non_count_fraction_score_advantage,0.8385093167701863,0.03951829292669578,0.12190330672708058,0.49412006582490986,0.7191722683232832
3,token_rC_count,token_rC,True,preferred_count_or_fraction_within_family,0.8385093167701863,0.021181086049593685,0.19704087271418153,0.6461651999455345,0.7444356372445188
4,lna_span_fraction,lna,True,preferred_count_or_fraction_within_family,0.8364389233954451,0.194742597654153,0.13874841990433204,0.1521331747219715,0.06434927375514302
5,base_U_count,base_U,True,preferred_count_or_fraction_within_family,0.808488612836439,0.030879721435334625,0.11040427334678753,0.5455338463776778,0.7042121681354584
