risk_tier,rows,failures,observed_failure_rate,mean_predicted_risk,min_predicted_risk,max_predicted_risk,enrichment_over_baseline
High Risk,132,16,0.12121212121212122,0.25063177675596876,0.108830245692581,0.8804081009503337,3.72938689217759
Medium Risk,397,16,0.04030226700251889,0.05362474991502176,0.0295091761964981,0.1080360902236733,1.2399976568449416
Low Risk,2117,54,0.02550779404818139,0.008581968512384288,0.0002976968269909,0.0294501505838827,0.784809570366139
