dropped_feature,retained_feature,absolute_correlation,dropped_target_association,retained_target_association
modified_token_last_fraction,modified_token_first_fraction,0.9943137462070392,0.0056730422507401375,0.015528334007312974
longest_star_run,methyl_first_fraction,0.9757505965030794,0.00548909640572616,0.01517697467800556
lna_density_3p,lna_count_3p,1.0,0.00495203703085801,0.004952037030858023
modified_token_span_fraction,modified_token_first_fraction,0.9774392675193052,0.004194208967508507,0.015528334007312974
slash_mod_mean_position,has_slash_mod,0.9007348569022514,0.002919144310383195,0.0138695920571885
methyl_last_fraction,methyl_first_fraction,0.9811956836281039,0.002470487591880693,0.01517697467800556
star_last_fraction,methyl_first_fraction,0.9756454906726141,0.0016393421701671816,0.01517697467800556
slash_mod_last_position,has_slash_mod,0.9246617858636742,0.00145100176638543,0.0138695920571885
star_density_3p,star_count_3p,0.9187948874136027,0.0009428465557724299,0.0736158321064006
rna_first_position,rna_first_fraction,0.9304006548894853,0.000892476921853645,0.04674723739704536
