endpoint,feature_count,model,fold,rows,mae,rmse,r2,pearson_r,spearman_r,observed_mean,predicted_mean
mainpeak_regression,9,mean_baseline,1,531,8.23777625130682,10.962781785706547,-0.00046959793601764055,,,75.99811676082862,76.23562676720076
mainpeak_regression,9,ridge,1,531,5.679420531496015,7.8668118632588815,0.48481894411378934,0.7014378963680791,0.6239710228513723,75.99811676082862,76.50703825339914
mainpeak_regression,9,elastic_net,1,531,5.703971261155838,7.890495126530485,0.4817123401232831,0.6982080373707454,0.6231626860216032,75.99811676082862,76.5283062533967
mainpeak_regression,9,lasso,1,531,5.681346925762969,7.869673784493747,0.4844440334583213,0.7012318983042308,0.6244132579073856,75.99811676082862,76.50928697777468
mainpeak_regression,9,bayesian_ridge,1,531,5.679813701463048,7.867113851896189,0.48477939014608484,0.7013908061661663,0.6238987876494967,75.99811676082862,76.50738359764601
mainpeak_regression,9,hist_gradient_boosting,1,531,4.319299052018216,6.37514797962847,0.6616681395446207,0.8148322982752636,0.7488258637036174,75.99811676082862,76.49486876385043
mainpeak_regression,9,gradient_boosting,1,531,4.464870880726194,6.583366420998233,0.6392067425580372,0.8007090314484515,0.7394634047962746,75.99811676082862,76.41778861496158
mainpeak_regression,9,random_forest,1,531,4.43345622554682,6.494359329915764,0.6488966402161639,0.8061191157654948,0.7505160366411122,75.99811676082862,76.3222634378147
mainpeak_regression,9,extra_trees,1,531,4.348594421943159,6.45614514089997,0.6530164170422252,0.8091072039111825,0.7595670259424084,75.99811676082862,76.43683964598742
mainpeak_regression,9,mean_baseline,2,531,8.027710772802546,10.938035187707635,-0.003781159391982314,,,76.72504708097928,76.05372290292178
mainpeak_regression,9,ridge,2,531,5.337112649773374,7.332571368146386,0.5488998153316048,0.7416117260464196,0.6540391525357993,76.72504708097928,76.36791070199654
mainpeak_regression,9,elastic_net,2,531,5.330530522607648,7.328724729959923,0.5493729819643114,0.7422668239375165,0.6563181189606914,76.72504708097928,76.34774075981228
mainpeak_regression,9,lasso,2,531,5.336841932571926,7.3320497333600425,0.5489639950488538,0.7416521092360483,0.6538022873461561,76.72504708097928,76.36763477256525
mainpeak_regression,9,bayesian_ridge,2,531,5.337077956114584,7.332540449046136,0.5489036196130024,0.7416148467885754,0.654050898247559,76.72504708097928,76.3678400219403
mainpeak_regression,9,hist_gradient_boosting,2,531,4.3936992357340525,6.433887486419236,0.65269796246186,0.807973200300487,0.7487614078829989,76.72504708097928,76.7449815537979
mainpeak_regression,9,gradient_boosting,2,531,4.491735064469936,6.5652323747054036,0.6383731966289756,0.7990526436592599,0.7199707090232675,76.72504708097928,76.66977112026782
mainpeak_regression,9,random_forest,2,531,4.453214070414744,6.507468557181233,0.6447087072122067,0.8031094714429626,0.7430049526329292,76.72504708097928,76.69886466579511
